Test-ID|Average|Prototype|5.0%|95.0%|E
F-35.13|9.17e-05|9.17e-05|2.86e-05|3.15e-04|0.0000
G-24.8|6.26e-06|6.26e-06|4.72e-07|6.82e-05|0.4379
D-43.172|1.62e-02|1.62e-02|1.26e-02|2.13e-02|0.2390
C-34.1|1.06e-07|1.16e-06|4.06e-09|7.47e-06|0.0040
D-22.9|1.64e-03|1.64e-03|6.23e-04|4.04e-03|0.0000
A-39.126|4.62e-05|2.75e-04|2.89e-05|7.48e-05|0.0005
G-2.238|5.64e-07|6.20e-06|3.90e-07|8.24e-07|0.0000
F-38.154|5.92e-05|5.92e-05|3.10e-05|1.15e-04|0.0013
E-15.416|4.88e-06|1.71e-05|2.88e-07|7.22e-05|0.0008
A-41.38|4.51e-06|1.40e-04|5.72e-08|3.61e-04|0.0090
E-15.402|1.17e-06|4.08e-06|7.85e-08|1.69e-05|0.0000
F-11.126|1.64e-03|1.64e-03|6.23e-04|3.80e-03|0.1430
D-43.312|5.63e-03|5.63e-03|4.36e-03|7.16e-03|0.0724
A-3.77|1.16e-05|1.28e-04|7.69e-06|1.77e-05|0.0001
F-28.54|4.45e-05|4.45e-05|1.84e-05|1.09e-04|0.0082
C-13.7|2.08e-05|1.25e-04|1.15e-05|3.72e-05|0.0022
D-44.20|1.97e-03|1.97e-03|1.14e-03|3.12e-03|0.0000
F-35.1|3.34e-05|3.34e-05|1.04e-05|1.05e-04|0.0000
E-15.299|1.55e-06|5.41e-06|8.40e-08|1.96e-05|0.0000
D-37.26|4.15e-04|4.15e-04|2.20e-04|6.99e-04|0.0000
D-43.115|1.32e-02|1.32e-02|9.80e-03|1.79e-02|0.1107
E-48.49|6.80e-04|6.80e-04|3.03e-04|1.59e-03|0.0000
A-35.184|1.37e-04|3.57e-04|8.22e-05|2.20e-04|0.0015
A-42.38|1.15e-05|1.26e-04|2.89e-06|4.99e-05|0.0000
D-45.69|1.49e-03|1.49e-03|7.56e-04|2.66e-03|0.0000
A-39.103|1.84e-06|1.10e-05|6.54e-07|4.27e-06|0.0021
G-3.15|1.24e-04|3.47e-04|7.80e-05|1.98e-04|0.0141
C-28.3|1.57e-05|1.73e-04|5.19e-06|4.98e-05|0.0000
A-41.148|6.10e-07|1.89e-05|1.01e-08|2.07e-05|0.0000
G-3.213|1.16e-06|1.28e-05|7.38e-07|1.90e-06|0.0230
G-3.171|2.17e-05|2.29e-04|1.42e-05|3.08e-05|0.0000
D-37.10|1.93e-03|1.93e-03|7.65e-04|4.97e-03|0.0000
E-15.574|2.46e-07|8.61e-07|1.65e-08|3.10e-06|0.0001
E-20.161|1.37e-05|1.37e-05|4.93e-06|3.70e-05|0.0000
G-2.83|2.94e-06|3.24e-05|2.00e-06|4.28e-06|0.0044
E-48.52|4.15e-04|4.15e-04|6.61e-05|2.81e-03|0.0006
F-12.37|1.64e-04|1.64e-04|6.83e-05|3.80e-04|0.0355
A-36.3|4.24e-07|4.67e-06|7.31e-08|2.40e-06|0.0016
F-38.119|2.85e-04|2.85e-04|2.07e-04|3.97e-04|0.0000
E-20.72|2.81e-04|2.81e-04|4.86e-05|1.38e-03|0.0062
E-15.341|3.76e-07|1.32e-06|5.65e-09|1.40e-05|0.0000
D-28.11|2.30e-03|2.30e-03|1.12e-03|4.81e-03|0.0000
D-43.107|1.16e-04|1.16e-04|6.58e-05|1.95e-04|0.0000
D-20.98|5.47e-05|5.47e-05|3.46e-05|8.91e-05|0.0000
E-48.71|6.49e-04|6.49e-04|1.45e-04|2.34e-03|0.0000
C-27.24|1.84e-05|7.96e-05|7.27e-06|4.34e-05|0.0003
A-39.179|3.65e-06|2.19e-05|1.56e-06|8.67e-06|0.0006
D-42.118|7.72e-06|7.72e-06|5.18e-08|1.32e-03|0.0000
C-29.18|1.78e-05|7.70e-05|4.39e-06|6.20e-05|0.0002
G-2.283|5.42e-07|5.97e-06|3.64e-07|8.34e-07|0.0003
G-2.46|2.54e-06|2.80e-05|1.31e-06|5.18e-06|0.0024
G-4.26|9.28e-07|1.02e-05|6.57e-07|1.26e-06|0.0001
C-10.16|2.62e-08|1.57e-07|5.61e-09|1.00e-07|0.0041
C-24.21|6.16e-07|2.67e-06|1.39e-07|2.32e-06|0.0006
A-34.122|7.96e-06|8.76e-05|3.11e-06|2.09e-05|0.0000
C-26.18|1.02e-04|3.30e-04|5.07e-05|1.92e-04|0.0000
C-1.12|7.27e-06|4.36e-05|4.38e-06|1.22e-05|0.0000
F-38.215|2.01e-06|2.01e-06|6.82e-07|5.71e-06|0.0000
G-16.1|1.05e-07|6.31e-07|2.29e-08|6.84e-07|0.0115
A-35.54|1.68e-04|3.79e-04|9.30e-05|2.88e-04|0.0018
A-41.86|2.46e-07|7.63e-06|6.34e-09|8.79e-06|0.0004
D-43.51|6.07e-03|6.07e-03|4.16e-03|9.40e-03|0.1245
D-42.111|4.26e-04|4.26e-04|1.56e-04|1.07e-03|0.0000
G-2.78|1.55e-05|1.70e-04|1.03e-05|2.37e-05|0.0001
C-52.9|4.02e-07|4.42e-06|1.18e-07|1.45e-06|0.0000
F-28.30|8.26e-06|8.26e-06|3.58e-06|2.08e-05|0.0000
D-32.88|4.13e-05|4.13e-05|2.61e-05|6.58e-05|0.0000
D-43.264|6.85e-03|6.85e-03|5.46e-03|8.70e-03|0.0676
D-19.15|7.73e-06|7.73e-06|4.11e-06|1.40e-05|0.0029
E-41.25|1.96e-05|6.88e-05|9.68e-06|3.92e-05|0.0009
E-15.690|1.09e-06|3.83e-06|7.15e-08|1.36e-05|0.0000
D-22.134|6.18e-04|6.18e-04|2.35e-04|1.88e-03|0.0002
F-38.194|3.74e-07|3.74e-07|1.23e-07|1.26e-06|0.0009
A-42.25|3.39e-06|1.47e-05|1.17e-06|7.99e-06|0.0007
D-26.69|1.09e-03|1.09e-03|7.19e-04|1.70e-03|0.0030
G-15.34|7.47e-06|7.47e-06|4.02e-06|1.42e-05|0.0000
D-31.2|1.04e-04|1.04e-04|4.45e-05|2.39e-04|0.1276
F-5.9|1.57e-05|1.57e-05|6.53e-06|3.58e-05|0.0000
D-43.284|4.18e-04|4.18e-04|2.84e-04|5.94e-04|0.0000
E-15.378|8.68e-07|3.04e-06|6.97e-08|9.85e-06|0.0000
E-15.84|6.45e-07|2.26e-06|2.67e-08|1.25e-05|0.0000
F-11.53|6.03e-03|6.03e-03|3.44e-03|1.08e-02|0.7260
C-13.9|1.39e-05|8.35e-05|7.87e-06|2.72e-05|0.0000
C-36.3|2.13e-04|4.11e-04|1.26e-04|3.65e-04|0.0079
D-41.107|2.10e-05|2.10e-05|2.46e-07|2.25e-03|0.1111
A-39.187|1.25e-05|7.48e-05|5.44e-06|2.82e-05|0.0048
E-15.494|2.49e-06|8.72e-06|4.59e-07|1.42e-05|0.0044
D-43.44|1.19e-02|1.19e-02|8.62e-03|1.68e-02|0.1958
G-3.234|2.84e-05|2.46e-04|1.74e-05|4.39e-05|0.0018
D-42.97|1.37e-06|1.37e-06|5.62e-07|3.01e-06|0.0000
E-7.37|1.25e-06|1.25e-06|5.18e-07|3.15e-06|0.0289
E-31.43|2.18e-06|2.39e-05|3.41e-07|1.19e-05|0.0000
G-2.170|2.76e-06|3.03e-05|1.89e-06|4.12e-06|0.0030
F-11.114|1.19e-02|1.19e-02|4.20e-03|3.90e-02|0.1587
F-21.23|1.20e-03|1.20e-03|8.98e-04|1.63e-03|0.5170
C-52.3|1.73e-05|1.04e-04|8.56e-06|3.91e-05|0.0000
D-43.354|1.17e-05|1.17e-05|5.56e-06|2.59e-05|0.4036
C-40.16|1.19e-04|3.43e-04|4.74e-05|2.73e-04|0.0000
D-29.13|1.24e-04|1.24e-04|4.18e-05|3.15e-04|0.0319
F-38.86|1.73e-04|1.73e-04|1.10e-04|2.80e-04|0.0002
D-22.66|6.37e-04|6.37e-04|2.63e-04|1.46e-03|0.0000
D-26.80|3.16e-03|3.16e-03|1.58e-03|6.18e-03|0.0000
D-42.117|3.37e-07|3.37e-07|5.94e-10|1.18e-03|0.0000
A-39.13|8.67e-06|5.20e-05|5.43e-06|1.34e-05|0.0009
E-20.198|4.28e-07|4.28e-07|4.83e-09|2.25e-05|0.3391
D-34.27|1.11e-03|1.11e-03|7.42e-04|1.68e-03|0.0000
D-43.144|1.61e-02|1.61e-02|1.28e-02|2.09e-02|0.1816
A-35.55|2.21e-04|4.17e-04|1.05e-04|4.57e-04|0.0028
D-30.29|2.62e-05|2.62e-05|1.80e-05|3.62e-05|0.0000
D-22.50|9.25e-04|9.25e-04|3.86e-04|2.30e-03|0.0000
D-43.297|1.31e-02|1.31e-02|1.04e-02|1.66e-02|0.2267
D-26.82|6.96e-04|6.96e-04|1.92e-04|3.73e-03|0.4712
C-52.11|2.40e-06|2.64e-05|8.68e-07|6.30e-06|0.0000
G-4.45|6.14e-06|6.75e-05|4.61e-06|8.20e-06|0.0002
E-3.10|1.32e-06|4.08e-05|6.10e-09|2.32e-03|0.8396
A-34.106|3.95e-05|2.66e-04|4.12e-06|5.42e-04|0.0308
D-42.26|2.37e-06|2.37e-06|1.18e-06|4.44e-06|0.0000
F-25.32|1.06e-04|1.06e-04|6.33e-05|1.73e-04|0.0000
D-20.35|2.76e-05|2.76e-05|1.68e-05|4.64e-05|0.0000
G-2.84|8.09e-06|8.90e-05|5.63e-06|1.19e-05|0.0073
A-34.56|4.64e-05|2.76e-04|5.62e-06|3.85e-04|0.0397
D-45.17|1.82e-05|1.82e-05|9.75e-06|3.43e-05|0.0000
A-41.36|8.90e-06|1.77e-04|1.18e-07|7.40e-04|0.0673
D-23.29|1.50e-03|1.50e-03|8.11e-04|2.80e-03|0.0360
E-22.8|8.22e-02|8.22e-02|1.40e-03|5.91e+00|0.0507
G-24.29|1.27e-05|1.27e-05|2.85e-06|4.90e-05|0.0000
A-38.17|1.12e-06|1.51e-05|1.85e-07|8.92e-06|0.0000
A-3.7|1.92e-05|2.11e-04|1.52e-05|2.41e-05|0.0044
D-43.216|5.48e-03|5.48e-03|3.89e-03|7.48e-03|0.1657
E-20.157|3.35e-07|3.35e-07|8.19e-08|1.60e-06|0.0050
D-1.3|1.72e-03|1.72e-03|9.63e-04|2.83e-03|0.0000
E-15.466|2.58e-06|9.03e-06|2.78e-07|2.07e-05|0.0001
E-15.217|3.80e-07|1.33e-06|1.72e-08|6.50e-06|0.0001
G-16.13|3.20e-07|1.92e-06|6.75e-08|1.51e-06|0.0731
G-15.146|3.49e-05|3.49e-05|1.87e-05|7.03e-05|0.0000
A-38.26|8.46e-07|9.31e-06|2.32e-07|2.62e-06|0.0000
A-34.32|6.79e-06|7.47e-05|6.38e-07|9.78e-05|0.0008
A-3.94|3.13e-05|2.52e-04|2.16e-05|4.67e-05|0.0001
E-48.79|2.06e-03|2.06e-03|5.93e-04|7.51e-03|0.0000
D-9.66|8.50e-06|8.50e-06|3.63e-06|1.94e-05|0.0000
A-33.8|3.02e-05|2.49e-04|8.87e-06|1.07e-04|0.0001
D-44.74|6.32e-05|6.32e-05|3.23e-05|1.31e-04|0.0000
A-41.67|1.75e-06|5.42e-05|1.99e-08|1.10e-04|0.0672
A-39.14|1.85e-05|1.11e-04|1.22e-05|2.73e-05|0.0028
D-44.24|2.25e-03|2.25e-03|1.19e-03|3.84e-03|0.0000
D-43.340|8.48e-04|8.48e-04|5.69e-04|1.25e-03|0.0147
F-11.163|1.11e-02|1.11e-02|5.74e-03|2.30e-02|1.0502
G-19.3|9.99e-05|9.99e-05|3.91e-05|2.23e-04|0.3436
A-2.33|6.30e-06|6.93e-05|2.58e-06|1.50e-05|0.0262
D-32.4|1.82e-05|1.82e-05|5.64e-06|5.72e-05|0.0000
G-3.66|4.52e-06|4.98e-05|3.14e-06|6.56e-06|0.0000
E-48.129|2.74e-04|2.74e-04|1.00e-04|7.46e-04|0.0000
E-41.3|4.27e-06|1.50e-05|1.67e-06|1.26e-05|0.0000
D-26.59|1.07e-03|1.07e-03|6.98e-04|1.68e-03|0.0035
D-22.225|2.02e-03|2.02e-03|7.75e-04|5.45e-03|0.0054
A-41.149|2.25e-07|6.99e-06|5.63e-09|9.31e-06|0.0021
E-15.573|2.07e-07|7.24e-07|1.34e-08|2.53e-06|0.0001
E-20.113|1.64e-04|1.64e-04|2.35e-05|1.68e-03|0.0000
E-20.189|4.81e-07|4.81e-07|6.95e-09|5.45e-05|0.5379
E-48.67|4.01e-03|4.01e-03|1.00e-03|1.73e-02|0.0000
F-35.39|1.15e-05|1.15e-05|3.52e-06|3.48e-05|0.0329
E-20.75|1.09e-05|1.09e-05|1.74e-06|5.74e-05|0.0076
D-36.16|2.41e-05|2.41e-05|8.71e-06|6.80e-05|0.0000
A-3.44|3.35e-05|2.56e-04|2.44e-05|4.75e-05|0.0345
E-21.74|2.02e-02|2.02e-02|4.72e-04|7.52e-01|0.0000
D-30.40|1.84e-04|1.84e-04|1.20e-04|2.80e-04|0.0000
A-38.46|1.38e-06|1.51e-05|1.18e-07|2.16e-05|0.0001
A-2.4|5.11e-05|2.82e-04|3.19e-05|8.29e-05|0.0078
A-3.83|3.48e-05|2.58e-04|2.25e-05|5.39e-05|0.0001
A-41.54|2.58e-06|7.99e-05|2.40e-08|2.39e-04|0.0687
D-45.78|9.94e-04|9.94e-04|6.36e-04|1.52e-03|0.0000
F-11.102|3.40e-05|3.40e-05|1.61e-05|7.19e-05|0.0000
E-20.44|8.93e-06|8.93e-06|1.85e-06|4.65e-05|0.0000
F-11.208|2.42e-03|2.42e-03|1.22e-03|4.51e-03|0.6275
C-31.16|2.45e-05|1.06e-04|2.48e-06|3.05e-04|0.0010
E-20.81|4.30e-06|4.30e-06|6.19e-07|2.40e-05|0.0029
G-3.237|9.30e-07|1.02e-05|6.31e-07|1.36e-06|0.0013
D-43.314|5.53e-06|5.53e-06|2.89e-06|1.08e-05|0.5365
D-43.74|1.03e-02|1.03e-02|7.61e-03|1.36e-02|0.0767
D-43.65|8.10e-03|8.10e-03|5.88e-03|1.12e-02|0.0689
F-38.98|3.06e-07|3.06e-07|1.70e-07|5.63e-07|0.0000
E-15.432|7.06e-06|2.47e-05|4.84e-07|1.09e-04|0.0001
A-35.135|8.29e-06|9.12e-05|4.58e-06|1.39e-05|0.0140
G-22.25|4.24e-07|4.66e-06|3.67e-08|4.95e-06|0.0000
E-20.120|3.70e-05|3.70e-05|1.12e-05|1.30e-04|0.0000
E-15.255|3.22e-06|1.13e-05|1.56e-07|5.14e-05|0.0000
A-41.62|3.71e-06|1.15e-04|5.46e-08|1.61e-04|0.0422
D-21.15|5.10e-05|5.10e-05|9.17e-06|2.25e-04|0.0054
D-43.207|2.61e-03|2.61e-03|1.67e-03|4.14e-03|0.1321
E-15.580|3.50e-07|1.23e-06|2.79e-08|3.45e-06|0.0013
D-22.139|1.01e-03|1.01e-03|4.03e-04|2.54e-03|0.0000
G-11.5|4.52e-07|4.52e-07|2.09e-09|2.80e-03|0.0000
E-15.658|1.39e-06|4.85e-06|9.28e-08|2.26e-05|0.0000
F-32.28|2.25e-06|2.25e-06|6.63e-07|6.42e-06|0.0000
D-42.51|1.95e-05|1.95e-05|1.14e-05|3.36e-05|0.0000
C-50.22|5.61e-07|3.37e-06|4.01e-08|9.84e-06|0.0000
F-38.23|1.61e-03|1.61e-03|4.60e-04|5.41e-03|0.0008
C-3.6|1.40e-05|8.39e-05|7.38e-06|2.75e-05|0.0013
C-1.6|2.05e-05|1.23e-04|1.24e-05|3.23e-05|0.0000
E-22.4|1.46e-03|1.46e-03|8.11e-06|3.46e-01|0.0000
A-7.2|2.14e-06|3.43e-05|2.15e-07|1.83e-05|0.0000
E-15.137|1.08e-05|3.79e-05|8.65e-07|9.75e-05|0.0000
D-22.2|1.11e-04|1.11e-04|4.53e-05|2.90e-04|0.0000
F-35.33|5.09e-05|5.09e-05|2.38e-05|9.76e-05|0.0000
F-25.8|1.13e-05|1.13e-05|4.78e-06|2.46e-05|0.0000
D-43.24|7.50e-03|7.50e-03|5.28e-03|1.11e-02|0.0919
F-21.26|9.71e-05|9.71e-05|6.32e-05|1.45e-04|0.0087
D-20.8|2.40e-06|2.40e-06|1.00e-06|6.05e-06|0.0523
F-30.18|2.37e-05|2.37e-05|1.35e-05|3.92e-05|0.0000
A-34.94|1.19e-04|3.43e-04|1.45e-05|9.72e-04|0.0343
F-31.18|4.90e-06|4.90e-06|2.11e-06|1.07e-05|0.0002
D-43.188|4.18e-03|4.18e-03|3.30e-03|5.39e-03|0.0232
D-43.208|1.10e-02|1.10e-02|8.32e-03|1.45e-02|0.1935
F-36.16|2.66e-06|2.66e-06|1.37e-06|5.18e-06|0.0171
D-44.8|2.57e-05|2.57e-05|1.46e-05|4.59e-05|0.0000
A-38.69|1.78e-06|1.95e-05|3.21e-07|1.01e-05|0.0001
G-3.79|5.00e-05|2.80e-04|3.13e-05|7.69e-05|0.0169
F-11.111|1.31e-03|1.31e-03|4.34e-04|3.83e-03|0.1709
D-43.1|6.01e-03|6.01e-03|3.83e-03|9.62e-03|0.1106
D-42.12|1.13e-05|1.13e-05|4.60e-06|2.75e-05|0.0000
A-39.67|9.67e-06|5.80e-05|5.06e-06|1.89e-05|0.0001
F-38.103|6.44e-05|6.44e-05|4.18e-05|9.42e-05|0.0000
G-2.77|2.35e-06|2.58e-05|1.51e-06|3.52e-06|0.0001
E-30.9|6.62e-05|2.99e-04|2.32e-05|1.50e-04|0.0226
E-15.495|4.51e-06|1.58e-05|9.18e-07|2.51e-05|0.0020
F-35.32|8.53e-05|8.53e-05|4.15e-05|1.57e-04|0.0000
A-35.193|3.35e-04|5.02e-04|2.40e-04|4.72e-04|0.0017
E-15.175|1.26e-05|4.41e-05|1.33e-06|1.19e-04|0.0008
G-19.34|2.05e-05|2.05e-05|7.99e-06|5.08e-05|0.4955
D-43.326|3.53e-03|3.53e-03|2.73e-03|4.64e-03|0.0070
D-35.3|1.61e-05|1.61e-05|1.21e-06|1.95e-04|0.0000
D-20.48|6.76e-05|6.76e-05|3.93e-05|1.18e-04|0.0039
E-15.208|3.01e-08|1.05e-07|4.31e-09|2.15e-06|0.0004
G-3.101|9.82e-08|1.08e-06|4.54e-08|2.04e-07|0.0012
E-15.686|6.94e-08|2.43e-07|2.43e-09|1.28e-06|0.0024
E-20.191|4.06e-05|4.06e-05|3.34e-06|3.90e-04|0.0061
F-21.38|3.16e-03|3.16e-03|2.41e-03|4.26e-03|0.1516
D-31.29|1.17e-05|1.17e-05|3.77e-06|3.70e-05|0.1737
C-49.2|7.66e-07|8.43e-06|1.12e-07|5.88e-06|0.0006
D-32.10|1.20e-05|1.20e-05|1.53e-06|1.05e-04|0.0000
A-39.87|3.69e-06|2.21e-05|1.23e-06|1.01e-05|0.0041
E-20.138|1.13e-05|1.13e-05|2.36e-06|4.84e-05|0.0000
D-43.127|6.97e-03|6.97e-03|5.16e-03|9.34e-03|0.1548
G-2.123|7.25e-06|7.97e-05|5.08e-06|1.01e-05|0.0001
G-2.246|4.97e-07|5.47e-06|3.27e-07|7.26e-07|0.0000
E-20.6|5.02e-05|5.02e-05|9.08e-06|2.35e-04|0.0000
A-34.55|2.53e-04|4.40e-04|2.28e-05|3.28e-03|0.0010
G-2.5|6.97e-05|3.02e-04|4.97e-05|9.86e-05|0.0311
A-2.60|9.44e-07|5.66e-06|4.03e-07|2.17e-06|0.0020
F-38.99|1.82e-06|1.82e-06|1.04e-06|2.87e-06|0.0000
E-3.6|1.57e-06|4.86e-05|4.31e-09|2.65e-03|0.8730
G-22.5|1.42e-06|1.57e-05|1.15e-07|1.50e-05|0.0003
A-3.89|2.24e-06|2.46e-05|1.56e-06|3.28e-06|0.0003
D-42.101|1.59e-05|1.59e-05|8.81e-06|2.70e-05|0.0000
G-3.95|4.87e-06|5.36e-05|3.49e-06|7.24e-06|0.0000
A-38.65|7.48e-07|8.23e-06|2.91e-07|1.55e-06|0.0001
G-3.247|2.36e-06|2.60e-05|1.47e-06|3.84e-06|0.0169
D-36.33|5.50e-04|5.50e-04|2.13e-04|1.58e-03|0.0000
C-26.29|1.82e-05|7.90e-05|1.01e-05|3.33e-05|0.0000
A-38.44|2.52e-06|2.78e-05|6.78e-07|8.92e-06|0.0000
A-39.73|1.02e-06|6.11e-06|4.30e-07|2.59e-06|0.0121
E-15.362|3.00e-06|1.05e-05|6.12e-08|1.06e-04|0.0098
C-37.4|2.30e-06|3.68e-05|8.90e-07|5.85e-06|0.0001
A-35.51|2.36e-06|2.60e-05|1.24e-06|4.65e-06|0.0047
