Test-ID|Average|Prototype|5.0%|95.0%|E
F-36.32|2.04e-05|2.04e-05|9.78e-06|4.52e-05|0.0594
F-36.33|7.79e-05|7.79e-05|4.26e-05|1.42e-04|0.0469
F-36.34|3.60e-06|3.60e-06|1.19e-06|1.27e-05|0.1338
F-36.35|1.30e-05|1.30e-05|8.62e-06|2.01e-05|0.0022
F-36.36|1.98e-05|1.98e-05|1.32e-05|2.99e-05|0.0019
F-36.37|2.97e-05|2.97e-05|1.86e-05|4.80e-05|0.0000
F-36.38|2.29e-06|2.29e-06|1.37e-06|3.71e-06|0.0146
F-36.39|2.40e-05|2.40e-05|1.45e-05|3.99e-05|0.0035
F-36.40|7.19e-05|7.19e-05|4.04e-05|1.34e-04|0.0001
F-36.41|6.54e-06|6.54e-06|3.86e-06|1.10e-05|0.0127
F-36.42|2.37e-05|2.37e-05|1.09e-05|5.26e-05|0.0000
F-36.43|1.04e-05|1.04e-05|6.43e-06|1.74e-05|0.0043
F-36.44|1.83e-06|1.83e-06|8.55e-07|4.12e-06|0.0240
F-36.45|2.46e-05|2.46e-05|1.47e-05|4.14e-05|0.0000
F-36.46|9.30e-06|9.30e-06|4.99e-06|1.73e-05|0.0029
F-36.47|5.53e-06|5.53e-06|2.99e-06|1.04e-05|0.0005
F-36.48|4.91e-05|4.91e-05|2.83e-05|8.79e-05|0.0000
F-36.49|9.86e-06|9.86e-06|4.94e-06|1.92e-05|0.0035
F-36.50|2.30e-06|2.30e-06|1.31e-06|4.27e-06|0.0105
F-36.51|7.13e-07|7.13e-07|3.16e-07|1.61e-06|0.0386
F-37.1|3.97e-07|3.97e-07|1.45e-08|9.16e-06|0.0000
F-37.2|4.53e-07|4.53e-07|1.82e-08|7.51e-06|0.0000
F-37.3|6.19e-07|6.19e-07|3.83e-08|6.91e-06|0.0022
F-37.4|6.10e-07|6.10e-07|3.75e-08|6.81e-06|0.0017
F-37.5|5.67e-07|5.67e-07|3.38e-08|6.51e-06|0.0008
F-37.6|4.93e-07|4.93e-07|2.29e-08|7.69e-06|0.0000
F-37.7|3.62e-07|3.62e-07|1.45e-08|7.81e-06|0.0000
F-37.8|3.30e-07|3.30e-07|8.51e-09|1.23e-05|0.0000
F-37.9|3.52e-07|3.52e-07|4.35e-09|3.62e-05|0.0000
F-37.10|2.28e-07|2.28e-07|1.00e-09|1.49e-04|0.0000
F-37.11|8.90e-07|8.90e-07|8.10e-08|6.85e-06|0.0079
F-37.12|9.45e-07|9.45e-07|9.22e-08|6.93e-06|0.0100
F-37.13|9.51e-07|9.51e-07|9.37e-08|6.95e-06|0.0101
F-37.14|9.08e-07|9.08e-07|8.35e-08|6.98e-06|0.0083
F-37.15|8.15e-07|8.15e-07|5.59e-08|1.07e-05|0.0000
F-37.16|7.72e-07|7.72e-07|7.06e-09|1.03e-04|0.0004
F-37.17|4.56e-07|4.56e-07|1.62e-09|1.99e-04|0.0001
F-37.18|4.42e-07|4.42e-07|8.53e-10|6.00e-04|0.0076
F-38.1|7.06e-07|7.06e-07|2.85e-07|1.66e-06|0.0000
F-38.2|1.00e-05|1.00e-05|4.71e-06|2.07e-05|0.0004
F-38.3|4.10e-05|4.10e-05|1.70e-05|9.05e-05|0.0008
F-38.4|3.68e-07|3.68e-07|1.91e-07|7.42e-07|0.0000
F-38.5|5.85e-06|5.85e-06|3.15e-06|1.05e-05|0.0003
F-38.6|5.51e-05|5.51e-05|2.84e-05|9.77e-05|0.0006
F-38.7|3.35e-07|3.35e-07|1.47e-07|6.63e-07|0.0000
F-38.8|4.81e-06|4.81e-06|2.59e-06|8.62e-06|0.0004
F-38.9|6.08e-05|6.08e-05|3.19e-05|1.14e-04|0.0009
F-38.10|2.64e-04|2.64e-04|1.48e-04|4.54e-04|0.0007
F-38.11|2.75e-06|2.75e-06|1.10e-06|7.08e-06|0.0038
F-38.12|9.59e-05|9.59e-05|4.14e-05|2.07e-04|0.0002
F-38.14|1.30e-06|1.30e-06|5.89e-07|2.73e-06|0.0039
F-38.15|6.27e-05|6.27e-05|3.29e-05|1.10e-04|0.0003
F-38.16|3.81e-04|3.81e-04|2.12e-04|6.64e-04|0.0002
F-38.17|1.00e-06|1.00e-06|4.13e-07|2.42e-06|0.0047
F-38.18|4.99e-05|4.99e-05|2.45e-05|9.92e-05|0.0006
F-38.19|3.71e-04|3.71e-04|2.08e-04|6.59e-04|0.0004
F-38.20|1.08e-03|1.08e-03|6.57e-04|1.77e-03|0.0001
F-38.21|4.55e-05|4.55e-05|1.02e-05|1.57e-04|0.0223
F-38.22|6.96e-04|6.96e-04|2.06e-04|2.11e-03|0.0000
F-38.23|1.61e-03|1.61e-03|4.60e-04|5.41e-03|0.0008
F-38.24|3.21e-05|3.21e-05|1.12e-05|8.28e-05|0.0236
F-38.25|5.28e-04|5.28e-04|2.29e-04|1.14e-03|0.0006
F-38.26|1.87e-03|1.87e-03|8.15e-04|3.85e-03|0.0000
F-38.27|3.00e-05|3.00e-05|9.98e-06|8.79e-05|0.0253
F-38.28|4.38e-04|4.38e-04|1.96e-04|8.92e-04|0.0019
F-38.29|1.64e-03|1.64e-03|7.89e-04|3.18e-03|0.0003
F-38.30|3.53e-03|3.53e-03|1.79e-03|6.33e-03|0.0000
F-38.31|5.55e-07|5.55e-07|2.45e-07|1.06e-06|0.0000
F-38.32|5.31e-06|5.31e-06|2.78e-06|9.82e-06|0.0001
F-38.33|5.31e-06|5.31e-06|2.78e-06|9.82e-06|0.0001
F-38.34|1.78e-05|1.78e-05|8.94e-06|3.42e-05|0.0002
F-38.35|3.19e-07|3.19e-07|1.73e-07|5.64e-07|0.0000
F-38.36|3.32e-06|3.32e-06|1.97e-06|5.26e-06|0.0000
F-38.37|2.66e-05|2.66e-05|1.55e-05|4.43e-05|0.0000
F-38.38|3.17e-07|3.17e-07|1.66e-07|6.00e-07|0.0000
F-38.39|3.08e-06|3.08e-06|1.82e-06|4.99e-06|0.0000
F-38.40|3.41e-05|3.41e-05|2.17e-05|5.33e-05|0.0000
F-38.41|1.52e-04|1.52e-04|9.53e-05|2.48e-04|0.0000
F-38.42|1.39e-06|1.39e-06|6.68e-07|2.94e-06|0.0000
F-38.43|4.30e-05|4.30e-05|2.54e-05|7.42e-05|0.0000
F-38.44|1.28e-04|1.28e-04|6.75e-05|2.42e-04|0.0002
F-38.45|6.54e-07|6.54e-07|3.37e-07|1.33e-06|0.0000
F-38.46|2.89e-05|2.89e-05|1.83e-05|4.67e-05|0.0000
F-38.47|1.84e-04|1.84e-04|1.14e-04|2.99e-04|0.0000
F-38.48|5.72e-07|5.72e-07|2.81e-07|1.28e-06|0.0005
F-38.49|2.47e-05|2.47e-05|1.52e-05|4.29e-05|0.0000
F-38.50|2.09e-04|2.09e-04|1.34e-04|3.40e-04|0.0000
F-38.51|6.59e-04|6.59e-04|4.52e-04|1.02e-03|0.0000
F-38.52|2.18e-05|2.18e-05|9.48e-06|4.81e-05|0.0009
F-38.53|3.49e-04|3.49e-04|1.81e-04|6.90e-04|0.0000
F-38.54|7.68e-04|7.68e-04|3.59e-04|1.61e-03|0.0008
F-38.55|1.38e-05|1.38e-05|6.70e-06|2.78e-05|0.0020
F-38.56|2.84e-04|2.84e-04|1.72e-04|4.69e-04|0.0002
F-38.57|1.05e-03|1.05e-03|6.42e-04|1.81e-03|0.0000
F-38.58|1.30e-05|1.30e-05|5.86e-06|2.81e-05|0.0037
F-38.59|2.53e-04|2.53e-04|1.46e-04|4.63e-04|0.0006
F-38.60|1.07e-03|1.07e-03|6.72e-04|1.76e-03|0.0001
F-38.61|2.41e-03|2.41e-03|1.59e-03|3.77e-03|0.0002
F-38.62|4.82e-07|4.82e-07|2.25e-07|8.72e-07|0.0000
F-38.63|3.52e-06|3.52e-06|1.94e-06|6.34e-06|0.0001
F-38.64|1.03e-05|1.03e-05|5.32e-06|1.96e-05|0.0002
F-38.65|2.96e-07|2.96e-07|1.66e-07|5.06e-07|0.0000
F-38.66|2.38e-06|2.38e-06|1.40e-06|3.68e-06|0.0000
F-38.67|1.67e-05|1.67e-05|1.02e-05|2.68e-05|0.0000
F-38.68|3.10e-07|3.10e-07|1.73e-07|5.81e-07|0.0000
F-38.69|2.43e-06|2.43e-06|1.46e-06|3.81e-06|0.0000
F-38.70|2.39e-05|2.39e-05|1.57e-05|3.41e-05|0.0000
F-38.71|1.06e-04|1.06e-04|7.10e-05|1.62e-04|0.0000
F-38.72|8.68e-07|8.68e-07|4.60e-07|1.80e-06|0.0000
F-38.73|2.38e-05|2.38e-05|1.41e-05|4.02e-05|0.0000
F-38.74|7.01e-05|7.01e-05|3.82e-05|1.23e-04|0.0002
F-38.75|4.41e-07|4.41e-07|2.42e-07|8.33e-07|0.0000
F-38.76|1.68e-05|1.68e-05|1.12e-05|2.71e-05|0.0000
F-38.77|1.11e-04|1.11e-04|7.02e-05|1.74e-04|0.0000
F-38.78|4.41e-07|4.41e-07|2.15e-07|1.01e-06|0.0003
F-38.79|1.57e-05|1.57e-05|1.02e-05|2.40e-05|0.0000
F-38.80|1.42e-04|1.42e-04|9.99e-05|2.16e-04|0.0000
F-38.81|4.73e-04|4.73e-04|3.37e-04|7.22e-04|0.0000
F-38.82|1.16e-05|1.16e-05|5.24e-06|2.55e-05|0.0009
F-38.83|1.99e-04|1.99e-04|1.07e-04|3.69e-04|0.0000
F-38.84|4.41e-04|4.41e-04|2.38e-04|8.69e-04|0.0008
F-38.85|7.26e-06|7.26e-06|3.62e-06|1.33e-05|0.0019
F-38.86|1.73e-04|1.73e-04|1.10e-04|2.80e-04|0.0002
F-38.87|6.78e-04|6.78e-04|4.33e-04|1.11e-03|0.0000
F-38.88|7.24e-06|7.24e-06|3.68e-06|1.36e-05|0.0029
F-38.89|1.66e-04|1.66e-04|1.04e-04|2.81e-04|0.0007
F-38.90|7.77e-04|7.77e-04|5.38e-04|1.22e-03|0.0002
F-38.91|1.81e-03|1.81e-03|1.25e-03|2.66e-03|0.0004
F-38.92|3.98e-07|3.98e-07|1.95e-07|7.10e-07|0.0000
F-38.93|1.94e-06|1.94e-06|1.07e-06|3.42e-06|0.0001
F-38.94|4.49e-06|4.49e-06|2.36e-06|8.63e-06|0.0002
F-38.96|1.52e-06|1.52e-06|8.67e-07|2.39e-06|0.0000
F-38.97|8.49e-06|8.49e-06|4.96e-06|1.33e-05|0.0000
F-38.98|3.06e-07|3.06e-07|1.70e-07|5.63e-07|0.0000
F-38.99|1.82e-06|1.82e-06|1.04e-06|2.87e-06|0.0000
F-38.100|1.82e-06|1.82e-06|1.04e-06|2.87e-06|0.0000
F-38.101|1.48e-05|1.48e-05|9.50e-06|2.17e-05|0.0000
F-38.102|1.48e-05|1.48e-05|9.50e-06|2.17e-05|0.0000
F-38.103|6.44e-05|6.44e-05|4.18e-05|9.42e-05|0.0000
F-38.104|4.43e-07|4.43e-07|2.22e-07|8.49e-07|0.0000
F-38.105|9.20e-06|9.20e-06|5.49e-06|1.57e-05|0.0000
F-38.106|9.20e-06|9.20e-06|5.49e-06|1.57e-05|0.0000
F-38.107|2.68e-05|2.68e-05|1.54e-05|4.53e-05|0.0002
F-38.108|2.68e-05|2.68e-05|1.54e-05|4.53e-05|0.0002
F-38.109|2.74e-07|2.74e-07|1.41e-07|5.23e-07|0.0000
F-38.110|7.43e-06|7.43e-06|4.81e-06|1.12e-05|0.0000
F-38.111|7.43e-06|7.43e-06|4.81e-06|1.12e-05|0.0000
F-38.112|5.02e-05|5.02e-05|3.37e-05|7.58e-05|0.0000
F-38.113|5.02e-05|5.02e-05|3.37e-05|7.58e-05|0.0000
F-38.114|3.41e-07|3.41e-07|1.76e-07|6.99e-07|0.0002
F-38.115|8.55e-06|8.55e-06|5.37e-06|1.25e-05|0.0000
F-38.116|8.55e-06|8.55e-06|5.37e-06|1.25e-05|0.0000
F-38.117|7.93e-05|7.93e-05|5.62e-05|1.10e-04|0.0000
F-38.118|7.93e-05|7.93e-05|5.62e-05|1.10e-04|0.0000
F-38.119|2.85e-04|2.85e-04|2.07e-04|3.97e-04|0.0000
F-38.120|3.90e-06|3.90e-06|1.84e-06|8.20e-06|0.0009
F-38.121|7.49e-05|7.49e-05|4.02e-05|1.41e-04|0.0000
F-38.122|1.75e-04|1.75e-04|9.51e-05|3.23e-04|0.0009
F-38.123|2.70e-06|2.70e-06|1.39e-06|4.89e-06|0.0019
F-38.124|7.53e-05|7.53e-05|4.79e-05|1.25e-04|0.0002
F-38.125|3.25e-04|3.25e-04|2.02e-04|5.20e-04|0.0000
F-38.126|3.36e-06|3.36e-06|1.78e-06|6.40e-06|0.0032
F-38.127|8.52e-05|8.52e-05|5.74e-05|1.24e-04|0.0008
F-38.128|8.52e-05|8.52e-05|5.74e-05|1.24e-04|0.0008
F-38.129|4.59e-04|4.59e-04|3.25e-04|6.51e-04|0.0002
F-38.130|4.59e-04|4.59e-04|3.25e-04|6.51e-04|0.0002
F-38.131|1.15e-03|1.15e-03|8.02e-04|1.66e-03|0.0009
F-38.132|3.31e-07|3.31e-07|1.63e-07|6.18e-07|0.0000
F-38.133|1.06e-06|1.06e-06|5.62e-07|1.94e-06|0.0001
F-38.134|1.87e-06|1.87e-06|9.29e-07|3.87e-06|0.0002
F-38.135|2.49e-07|2.49e-07|1.42e-07|4.56e-07|0.0000
F-38.136|1.01e-06|1.01e-06|5.65e-07|1.67e-06|0.0000
F-38.137|4.36e-06|4.36e-06|2.38e-06|7.43e-06|0.0000
F-38.138|3.08e-07|3.08e-07|1.63e-07|5.71e-07|0.0000
F-38.139|1.44e-06|1.44e-06|8.06e-07|2.24e-06|0.0000
F-38.140|9.71e-06|9.71e-06|5.62e-06|1.51e-05|0.0000
F-38.141|4.00e-05|4.00e-05|2.43e-05|6.11e-05|0.0000
F-38.142|2.31e-07|2.31e-07|1.13e-07|4.78e-07|0.0000
F-38.143|3.17e-06|3.17e-06|1.82e-06|5.43e-06|0.0000
F-38.144|9.02e-06|9.02e-06|5.08e-06|1.57e-05|0.0002
F-38.145|1.86e-07|1.86e-07|9.48e-08|3.61e-07|0.0000
F-38.146|3.33e-06|3.33e-06|1.94e-06|5.47e-06|0.0000
F-38.147|2.13e-05|2.13e-05|1.23e-05|3.33e-05|0.0000
F-38.148|2.92e-07|2.92e-07|1.51e-07|5.59e-07|0.0003
F-38.149|5.19e-06|5.19e-06|2.95e-06|8.06e-06|0.0000
F-38.150|4.53e-05|4.53e-05|3.01e-05|6.50e-05|0.0000
F-38.151|1.70e-04|1.70e-04|1.14e-04|2.47e-04|0.0000
F-38.152|1.14e-06|1.14e-06|5.33e-07|2.52e-06|0.0009
F-38.153|2.31e-05|2.31e-05|1.21e-05|4.46e-05|0.0000
F-38.154|5.92e-05|5.92e-05|3.10e-05|1.15e-04|0.0013
F-38.155|1.08e-06|1.08e-06|5.56e-07|2.11e-06|0.0020
F-38.156|2.90e-05|2.90e-05|1.75e-05|5.02e-05|0.0002
F-38.157|1.37e-04|1.37e-04|8.15e-05|2.16e-04|0.0003
F-38.158|1.89e-06|1.89e-06|8.73e-07|3.93e-06|0.0036
F-38.159|4.47e-05|4.47e-05|2.78e-05|6.96e-05|0.0010
F-38.160|2.59e-04|2.59e-04|1.69e-04|3.68e-04|0.0003
F-38.161|6.92e-04|6.92e-04|4.50e-04|1.02e-03|0.0029
F-38.162|2.90e-07|2.90e-07|1.37e-07|5.77e-07|0.0000
F-38.163|6.87e-07|6.87e-07|3.57e-07|1.32e-06|0.0001
F-38.164|1.01e-06|1.01e-06|4.65e-07|2.32e-06|0.0002
F-38.165|2.36e-07|2.36e-07|1.27e-07|4.50e-07|0.0000
F-38.166|7.62e-07|7.62e-07|4.18e-07|1.35e-06|0.0000
F-38.167|2.78e-06|2.78e-06|1.43e-06|5.11e-06|0.0000
F-38.168|3.11e-07|3.11e-07|1.56e-07|6.28e-07|0.0000
F-38.169|1.25e-06|1.25e-06|7.00e-07|2.02e-06|0.0000
F-38.170|7.47e-06|7.47e-06|4.18e-06|1.18e-05|0.0000
F-38.171|2.93e-05|2.93e-05|1.69e-05|4.66e-05|0.0000
F-38.172|1.50e-07|1.50e-07|7.27e-08|3.32e-07|0.0000
F-38.173|1.47e-06|1.47e-06|8.14e-07|2.65e-06|0.0000
F-38.174|4.03e-06|4.03e-06|2.09e-06|7.57e-06|0.0002
F-38.175|1.50e-07|1.50e-07|7.62e-08|2.95e-07|0.0001
F-38.176|1.99e-06|1.99e-06|1.10e-06|3.48e-06|0.0000
F-38.177|1.17e-05|1.17e-05|6.61e-06|1.95e-05|0.0000
F-38.178|2.77e-07|2.77e-07|1.31e-07|5.49e-07|0.0004
F-38.179|3.91e-06|3.91e-06|2.07e-06|6.14e-06|0.0000
F-38.180|3.19e-05|3.19e-05|1.98e-05|4.73e-05|0.0000
F-38.181|1.19e-04|1.19e-04|7.71e-05|1.81e-04|0.0000
F-38.182|4.96e-07|4.96e-07|2.35e-07|1.31e-06|0.0009
F-38.183|9.14e-06|9.14e-06|4.38e-06|1.87e-05|0.0000
F-38.184|2.52e-05|2.52e-05|1.22e-05|5.38e-05|0.0019
F-38.185|6.38e-07|6.38e-07|3.08e-07|1.38e-06|0.0022
F-38.186|1.48e-05|1.48e-05|8.50e-06|2.54e-05|0.0003
F-38.187|7.14e-05|7.14e-05|4.19e-05|1.21e-04|0.0007
F-38.188|1.44e-06|1.44e-06|6.36e-07|3.35e-06|0.0040
F-38.189|3.05e-05|3.05e-05|1.76e-05|5.23e-05|0.0012
F-38.190|1.76e-04|1.76e-04|1.07e-04|2.76e-04|0.0008
F-38.191|4.78e-04|4.78e-04|3.02e-04|7.66e-04|0.0073
F-38.192|2.33e-07|2.33e-07|9.49e-08|5.38e-07|0.0000
F-38.193|3.45e-07|3.45e-07|1.52e-07|7.81e-07|0.0004
F-38.194|3.74e-07|3.74e-07|1.23e-07|1.26e-06|0.0009
F-38.195|2.18e-07|2.18e-07|1.07e-07|4.83e-07|0.0000
F-38.196|5.05e-07|5.05e-07|2.46e-07|9.76e-07|0.0001
F-38.197|1.41e-06|1.41e-06|6.29e-07|2.90e-06|0.0002
F-38.198|3.20e-07|3.20e-07|1.36e-07|7.61e-07|0.0000
F-38.199|1.06e-06|1.06e-06|5.10e-07|1.90e-06|0.0001
F-38.200|5.26e-06|5.26e-06|2.78e-06|8.65e-06|0.0001
F-38.201|1.87e-05|1.87e-05|1.03e-05|3.09e-05|0.0000
F-38.202|8.02e-08|8.02e-08|2.72e-08|2.23e-07|0.0266
F-38.203|4.49e-07|4.49e-07|1.90e-07|1.10e-06|0.0002
F-38.204|1.10e-06|1.10e-06|4.38e-07|3.04e-06|0.0003
F-38.205|1.16e-07|1.16e-07|4.67e-08|2.82e-07|0.0272
F-38.206|9.54e-07|9.54e-07|4.73e-07|1.82e-06|0.0000
F-38.207|4.70e-06|4.70e-06|2.22e-06|9.10e-06|0.0000
F-38.208|2.78e-07|2.78e-07|1.01e-07|7.55e-07|0.0284
F-38.209|2.78e-07|2.78e-07|1.01e-07|7.55e-07|0.0284
F-38.210|2.83e-06|2.83e-06|1.39e-06|4.97e-06|0.0003
F-38.211|1.98e-05|1.98e-05|1.16e-05|3.12e-05|0.0000
F-38.212|7.00e-05|7.00e-05|4.21e-05|1.11e-04|0.0000
F-38.213|7.00e-05|7.00e-05|4.21e-05|1.11e-04|0.0000
F-38.214|1.57e-07|1.57e-07|4.98e-08|7.11e-07|0.2884
F-38.215|2.01e-06|2.01e-06|6.82e-07|5.71e-06|0.0000
F-38.216|5.75e-06|5.75e-06|1.94e-06|1.59e-05|0.0093
F-38.217|5.75e-06|5.75e-06|1.94e-06|1.59e-05|0.0093
F-38.218|3.44e-07|3.44e-07|1.15e-07|1.11e-06|0.2897
F-38.219|5.51e-06|5.51e-06|2.54e-06|1.19e-05|0.0007
F-38.220|2.47e-05|2.47e-05|1.15e-05|5.10e-05|0.0082
F-38.221|1.16e-06|1.16e-06|3.54e-07|4.68e-06|0.2915
F-38.222|1.86e-05|1.86e-05|8.75e-06|4.08e-05|0.0021
F-38.223|1.01e-04|1.01e-04|5.32e-05|1.85e-04|0.0082
F-38.224|1.86e-05|1.86e-05|8.75e-06|4.08e-05|0.0021
F-38.225|1.01e-04|1.01e-04|5.32e-05|1.85e-04|0.0082
F-47.1|1.06e-06|1.06e-06|3.28e-07|3.40e-06|0.0000
F-47.2|2.81e-06|2.81e-06|9.54e-07|8.62e-06|0.0000
F-47.3|6.56e-05|6.56e-05|2.85e-05|1.46e-04|0.0000
